seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	936229	936238	10	*	X00006	57801	934342	935552	1211	-	676	upstream	676	HES4
chr1	948829	948837	9	*	X00007	9636	948847	949919	1073	+	9	upstream	9	ISG15
chr1	1242037	1242051	15	*	X00017	126789	1243994	1247057	3064	+	1942	upstream	1942	PUSL1
chr1	1242190	1242198	9	*	X00018	126789	1243994	1247057	3064	+	1795	upstream	1795	PUSL1
chr1	1242262	1242274	13	*	X00019	126789	1243994	1247057	3064	+	1719	upstream	1719	PUSL1
chr1	1242527	1242536	10	*	X00020	126789	1243994	1247057	3064	+	1457	upstream	1457	PUSL1
chr1	1242607	1242616	10	*	X00021	126789	1243994	1247057	3064	+	1377	upstream	1377	PUSL1
chr1	1242921	1242930	10	*	X00022	126789	1243994	1247057	3064	+	1063	upstream	1063	PUSL1
chr1	1243964	1243974	11	*	X00023	126789	1243994	1247057	3064	+	19	upstream	19	PUSL1
chr1	1244051	1244062	12	*	X00024	126789	1243994	1247057	3064	+	0	inside	56	PUSL1
chr1	1342633	1342642	10	*	X00026	55052	1337276	1342693	5418	-	0	inside	50	MRPL20
chr1	1370845	1370861	17	*	X00028	64856	1370903	1378262	7360	+	41	upstream	41	VWA1
chr1	1370864	1370875	12	*	X00029	64856	1370903	1378262	7360	+	27	upstream	27	VWA1
chr1	1370949	1370957	9	*	X00030	64856	1370903	1378262	7360	+	0	inside	45	VWA1
chr1	1407097	1407106	10	*	X00031	83858	1407164	1444689	37526	+	57	upstream	57	ATAD3B
chr1	1447481	1447490	10	*	X00032	55210	1447523	1470067	22545	+	32	upstream	32	ATAD3A
chr1	1476354	1476364	11	*	X00033	339453	1470158	1475740	5583	-	613	upstream	613	TMEM240
chr1	1822606	1822616	11	*	X00040	2782	1716725	1822526	105802	-	79	upstream	79	GNB1
chr1	2984252	2984260	9	*	X00060	440556	2976181	2984289	8109	-	0	inside	28	PRDM16-DT
chr1	2984252	2984260	9	*	X00060	63976	2985742	3355185	369444	+	1481	upstream	1481	PRDM16
chr1	2985301	2985309	9	*	X00061	440556	2976181	2984289	8109	-	1011	upstream	1011	PRDM16-DT
chr1	2985301	2985309	9	*	X00061	63976	2985742	3355185	369444	+	432	upstream	432	PRDM16
chr1	3567006	3567015	10	*	X00066	49856	3547331	3566671	19341	-	334	upstream	334	WRAP73
chr1	3567711	3567721	11	*	X00067	49856	3547331	3566671	19341	-	1039	upstream	1039	WRAP73
